count_consonant,count_tone,count_vowel,date,description,id,internetarchive_url,jsondata,language_pk,markup_description,name,pk,source,source_url
11,0,11,,,2069,,{},128,,Akuntsú (SAPHON 2069),1253,,http://linguistics.berkeley.edu/~saphon/en/inv/Akuntsu.html
10,0,14,,,1862,,{},1323,,Akurio (SAPHON 1862),512,,http://linguistics.berkeley.edu/~saphon/en/inv/Akurio.html
52,0,10,,,1451,,{},1801,,Alaaba (GM 1451),1225,,
15,0,6,,,79,,{},1651,,Alabama (SPA 79),1619,,https://archive.org/details/akz_SPA1979_phon
14,0,3,,,210,,{},1651,,ALABAMA (UPSID 210),213,,http://web.phonetik.uni-frankfurt.de/L/L6759.html
18,0,6,,,2144,,{},1591,,Alacalufe (SAPHON 2144),2357,,http://linguistics.berkeley.edu/~saphon/en/inv/AlacalufeS.html
18,0,7,,,221,,{},1852,,ALAMBLAK (UPSID 221),2098,,http://web.phonetik.uni-frankfurt.de/L/L8634.html
22,0,4,,,2681,,{},1991,,Alawa (ER 2681),2018,,
23,0,5,,,50,,{},1991,,Alawa (SPA 50),1108,,https://archive.org/details/alh_SPA1979_phon
22,0,4,,,214,,{},1991,,ALAWA (UPSID 214),2684,,http://web.phonetik.uni-frankfurt.de/L/L8354.html
28,0,7,,,169,,{},1313,,Albanian (SPA 169),2193,,https://archive.org/details/sqi_SPA1979_phon
28,0,7,,,215,,{},1313,,ALBANIAN (UPSID 215),1201,,http://web.phonetik.uni-frankfurt.de/L/L2021.html
30,0,6,,,61,,{},1099,,Aleut (SPA 61),1477,,https://archive.org/details/ale_SPA1979_phon
24,0,3,,,213,,{},1099,,ALEUT (UPSID 213),2705,,http://web.phonetik.uni-frankfurt.de/L/L6900.html
23,2,11,,,1529,,{},635,,Alladian (GM 1529),2679,,
25,0,11,,,212,,{},635,,ALLADIAN (UPSID 212),2707,,http://web.phonetik.uni-frankfurt.de/L/L4152.html
24,0,4,,,2908,,{},233,,Alngith (ER 2908),1968,,
18,0,9,,,2412,,{},1978,,Alutor (EA 2412),251,,http://eurphon.info/languages/html?lang_id=110
25,0,7,,,1163,,{},796,,Alyawarra (PH 1163),1246,,
40,0,3,,,2702,,{},796,,Alyawarr (ER 2702),785,,
15,0,8,,,1998,,{},60,,Amahuaca (SAPHON 1998),2548,,http://linguistics.berkeley.edu/~saphon/en/inv/Amahuaca.html
14,0,8,,,120,,{},60,,Amahuaca (SPA 120),1663,,https://archive.org/details/amc_SPA1979_phon
14,0,8,,,216,,{},60,,AMAHUACA (UPSID 216),2082,,http://web.phonetik.uni-frankfurt.de/L/L6810.html
14,0,5,,,1164,,{},1650,,Amanab (PH 1164),2187,,
